#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0       0.994865     0.00436126     0.00391547     0.00299718
0              1       0.919376      0.0277422     0.00750935     0.00894574
0              2       0.931291      0.0474307     -0.0028331     0.00502753
0              3        0.93794      0.0386497     0.00563879     0.00721301
0              4       0.943135       0.019029   -0.000256072     0.00369518
0              5       0.670638      0.0963078      0.0087042      0.0123231
0              6       0.634975       0.168004    -0.00322211     0.00523051
0              7       0.705762       0.123264     0.00872581      0.0114272
0              8       0.733269      0.0283027    -0.00478665     0.00608952
0              9       0.270922       0.153258    5.92839e-05     0.00103459
0             10       0.459805        0.17396    -0.00182462     0.00356729
0             11       0.269981       0.156068   -0.000220798     0.00120837
0             12       0.946384      0.0188089   -0.000270151     0.00351428
0             13        0.68744      0.0736383     0.00870904       0.012081
0             14       0.631067       0.177136     -0.0032626     0.00524296
0             15       0.672232       0.114432     0.00883487      0.0118351
0             16      0.0235482     0.00781083     -0.0184945       0.025216
0             17     -0.0133639      0.0071238       0.018495      0.0252133
0             18      0.0223615     0.00956653     -0.0184943      0.0252141
0             19     0.00815607     0.00756014      0.0184965      0.0252112
0             20       0.288488      0.0975608      0.0164949      0.0231546
0             21    -0.00753406      0.0100171     -0.0184931      0.0252091
0             22      -0.138533      0.0182849      0.0182773       0.024828
0             23      0.0115746      0.0050175     -0.0184911      0.0252094
0             24      -0.720695      0.0269121      0.0103562      0.0108035
0             25      0.0997717      0.0416641     -0.0184678      0.0250131
0             26       0.191861         0.1313     0.00190483     0.00227938
0             27      0.0634343      0.0374073     -0.0184629      0.0250103
0             28       0.290435      0.0903661      0.0166615      0.0232934
0             29       0.021757     0.00994957     -0.0184899      0.0252058
0             30      -0.155174      0.0211878      0.0182771      0.0248162
0             31     -0.0182334      0.0110486     -0.0184933      0.0252062

1              0       0.919376      0.0277422     0.00750935     0.00894574
1              1       0.995187      0.0044867      0.0280379      0.0106638
1              2       0.751344      0.0644822     -0.0148149      0.0031004
1              3       0.990177     0.00499456      0.0229068     0.00687558
1              4       0.753266      0.0717013    -0.00936096     0.00613802
1              5       0.896768      0.0312547      0.0389469     0.00807199
1              6       0.317628       0.157707     -0.0173867     0.00285533
1              7       0.915192      0.0454412      0.0380956     0.00766283
1              8       0.427408      0.0466185     -0.0205592     0.00435014
1              9      -0.103629       0.102493    -0.00141343     0.00286887
1             10       0.104964       0.140358     -0.0113676     0.00326267
1             11      -0.103986       0.105452    -0.00244623     0.00299996
1             12       0.760068      0.0710736    -0.00873365     0.00677935
1             13       0.907203       0.021065      0.0396588     0.00680066
1             14        0.31443       0.168587     -0.0172111     0.00361779
1             15       0.897472      0.0397935      0.0392791     0.00745343
1             16        0.01534     0.00558127     -0.0821388      0.0159955
1             17     -0.0186697      0.0095902      0.0821312      0.0159981
1             18      0.0143008     0.00619037     -0.0821341      0.0159934
1             19      0.0164134     0.00906029      0.0821338      0.0159943
1             20       0.403845      0.0861154      0.0754703      0.0128094
1             21    -0.00694939     0.00699408     -0.0821187      0.0160022
1             22      -0.203874      0.0217256      0.0808418      0.0160455
1             23     0.00687269     0.00304427     -0.0821142      0.0159941
1             24      -0.853918      0.0215502      0.0342067      0.0164146
1             25      0.0575701      0.0253079     -0.0815508      0.0162145
1             26       0.447892      0.0575099     0.00801245     0.00200993
1             27       0.033097       0.022636     -0.0815375      0.0162096
1             28       0.400716      0.0773207      0.0758879      0.0132271
1             29      0.0155516     0.00745962     -0.0821146      0.0159933
1             30      -0.218159      0.0253539      0.0808101      0.0160741
1             31     -0.0128971     0.00806601     -0.0821244      0.0159927

2              0       0.931291      0.0474307     -0.0028331     0.00502753
2              1       0.751344      0.0644822     -0.0148149      0.0031004
2              2       0.995312     0.00353713     0.00879254     0.00386141
2              3       0.792562      0.0407058     -0.0124427     0.00266356
2              4       0.978131       0.015583     0.00644271     0.00541438
2              5       0.408856      0.0549564     -0.0218371     0.00526259
2              6       0.854142      0.0474912      0.0102316     0.00355704
2              7       0.459227      0.0679825     -0.0211892     0.00401154
2              8       0.902714      0.0504752      0.0113896     0.00214091
2              9       0.564702      0.0378996     0.00104296     0.00150199
2             10       0.723065      0.0486954     0.00689499     0.00306894
2             11       0.563355      0.0398877     0.00160394     0.00152272
2             12       0.976771      0.0177942     0.00606532     0.00505784
2             13        0.42472      0.0748382     -0.0223369     0.00507259
2             14       0.851285      0.0544658      0.0101699     0.00369995
2             15       0.413622      0.0634958     -0.0219443     0.00438852
2             16      0.0280906     0.00877993      0.0458865     0.00950943
2             17    -0.00723642     0.00391839     -0.0458821     0.00950935
2             18      0.0268978      0.0113995       0.045884     0.00950845
2             19    6.34308e-05     0.00562506     -0.0458832     0.00950463
2             20       0.146507      0.0321774     -0.0425048     0.00958347
2             21    -0.00787919      0.0116101      0.0458736     0.00950174
2             22     -0.0718706      0.0186706     -0.0451078     0.00924108
2             23      0.0143383     0.00610821      0.0458726     0.00950827
2             24       -0.51129      0.0961243     -0.0173544     0.00519817
2             25       0.120015       0.037919      0.0454891     0.00925856
2             26     -0.0307862      0.0705197    -0.00444206    0.000993774
2             27      0.0767787      0.0372966      0.0454827     0.00926247
2             28       0.154309      0.0312187     -0.0426767     0.00946852
2             29      0.0252785      0.0111507       0.045872     0.00950138
2             30     -0.0902058      0.0189411      -0.045083      0.0092093
2             31     -0.0211772      0.0127026      0.0458773     0.00949952

3              0        0.93794      0.0386497     0.00563879     0.00721301
3              1       0.990177     0.00499456      0.0229068     0.00687558
3              2       0.792562      0.0407058     -0.0124427     0.00266356
3              3       0.996588       0.003021      0.0189986     0.00486595
3              4       0.789345      0.0901083    -0.00833649     0.00578668
3              5       0.872081      0.0182595      0.0323793     0.00472734
3              6       0.377565       0.120067     -0.0147847     0.00329422
3              7       0.895412      0.0351125      0.0316333      0.0043096
3              8       0.482068      0.0745074     -0.0170756     0.00272734
3              9     -0.0417226       0.066479    -0.00134122     0.00235109
3             10       0.166863       0.103062     -0.0097643     0.00330021
3             11     -0.0426466      0.0710557    -0.00223101     0.00255673
3             12       0.794014      0.0896073    -0.00781029     0.00602463
3             13       0.879811      0.0194292      0.0330528     0.00400902
3             14       0.373798         0.1312     -0.0145942     0.00351753
3             15       0.873239      0.0311359      0.0326237     0.00392402
3             16      0.0170572     0.00584139     -0.0682867     0.00905663
3             17     -0.0179072     0.00916149      0.0682797     0.00905598
3             18      0.0155371     0.00627312     -0.0682824     0.00905168
3             19      0.0149327     0.00877994      0.0682819     0.00905277
3             20       0.385397      0.0775997      0.0628902     0.00724583
3             21    -0.00836265     0.00769303     -0.0682684       0.009055
3             22      -0.194404      0.0220558      0.0671854      0.0090969
3             23     0.00753209     0.00308819     -0.0682661     0.00905592
3             24      -0.828312      0.0201497      0.0276944      0.0114452
3             25      0.0600183      0.0204141     -0.0677692     0.00919358
3             26       0.419841      0.0427983     0.00666518     0.00149978
3             27      0.0318494      0.0189945     -0.0677592     0.00919415
3             28        0.38343      0.0696197      0.0632103     0.00745573
3             29      0.0174488     0.00843981     -0.0682668     0.00905828
3             30       -0.21016      0.0262141      0.0671531     0.00909061
3             31     -0.0145807     0.00901122     -0.0682742      0.0090528

4              0       0.943135       0.019029   -0.000256072     0.00369518
4              1       0.753266      0.0717013    -0.00936096     0.00613802
4              2       0.978131       0.015583     0.00644271     0.00541438
4              3       0.789345      0.0901083    -0.00833649     0.00578668
4              4       0.998391     0.00140677     0.00650229     0.00627855
4              5        0.40769       0.152924     -0.0154786      0.0115818
4              6        0.82805       0.140017     0.00814179     0.00607228
4              7       0.453163       0.188158     -0.0151414      0.0107214
4              8       0.908938      0.0277326     0.00809657     0.00563281
4              9       0.552672       0.165881     0.00134102     0.00125095
4             10       0.703583       0.166814     0.00583767     0.00445107
4             11       0.551441       0.169435     0.00167491      0.0012989
4             12       0.997036     0.00159267     0.00620158     0.00555669
4             13       0.426117       0.121615     -0.0161543       0.011757
4             14       0.823901       0.146892     0.00808771     0.00586395
4             15       0.410755       0.173564     -0.0157556      0.0113527
4             16      0.0277741     0.00880929       0.032667      0.0236002
4             17    -0.00735384      0.0051365     -0.0326623      0.0235954
4             18      0.0265065      0.0111741      0.0326662      0.0235986
4             19    0.000261138     0.00679393     -0.0326637      0.0235932
4             20       0.160053       0.103447     -0.0307449      0.0225549
4             21    -0.00759803      0.0113445      0.0326562      0.0235911
4             22     -0.0671966      0.0329575     -0.0320373      0.0231081
4             23      0.0141393     0.00609446      0.0326552      0.0235901
4             24      -0.522544      0.0501723    -0.00994125      0.0062196
4             25       0.121005       0.044049      0.0323003      0.0232484
4             26     -0.0395846       0.176563    -0.00323277     0.00212235
4             27      0.0782439      0.0402291      0.0322964      0.0232468
4             28       0.165959      0.0982478     -0.0307841      0.0225548
4             29      0.0247838      0.0109488       0.032655      0.0235886
4             30      -0.084337       0.036191     -0.0320129      0.0230951
4             31     -0.0207305      0.0122827      0.0326612      0.0235933

5              0       0.670638      0.0963078      0.0087042      0.0123231
5              1       0.896768      0.0312547      0.0389469     0.00807199
5              2       0.408856      0.0549564     -0.0218371     0.00526259
5              3       0.872081      0.0182595      0.0323793     0.00472734
5              4        0.40769       0.152924     -0.0154786      0.0115818
5              5       0.994996     0.00446883      0.0562968     0.00657033
5              6      -0.106709       0.111652     -0.0259686     0.00613836
5              7       0.989897     0.00576429      0.0548727     0.00420553
5              8     0.00615743       0.103691     -0.0295259     0.00247505
5              9      -0.513757      0.0443562    -0.00259066     0.00410375
5             10      -0.322789      0.0824927     -0.0173357     0.00625238
5             11      -0.513821      0.0508165    -0.00398427     0.00414325
5             12       0.415425       0.154149     -0.0145916      0.0116875
5             13       0.991192     0.00603433      0.0574398     0.00415209
5             14      -0.109891       0.122189     -0.0257076     0.00673433
5             15       0.992656     0.00410534      0.0566685     0.00341739
5             16     0.00325965     0.00299593      -0.118383     0.00678578
5             17     -0.0213025      0.0110246       0.118372     0.00678923
5             18     0.00224177     0.00178092      -0.118377     0.00678455
5             19       0.022456      0.0100154       0.118375      0.0067701
5             20       0.464215      0.0833023       0.109335     0.00724432
5             21    -0.00624977     0.00314789      -0.118351     0.00677701
5             22      -0.238005      0.0295331       0.116431     0.00672752
5             23   -3.88335e-05    0.000854098      -0.118347     0.00678622
5             24      -0.843137       0.060989       0.046482      0.0155267
5             25    -0.00521525     0.00668998      -0.117431     0.00664195
5             26       0.662879      0.0547807      0.0115166     0.00196064
5             27     -0.0132448     0.00867902      -0.117415     0.00668495
5             28        0.45534      0.0738089       0.109838     0.00699041
5             29     0.00616368     0.00377889      -0.118346      0.0067504
5             30      -0.247521      0.0351717       0.116378     0.00674768
5             31    -0.00496492     0.00375208      -0.118362     0.00677328

6              0       0.634975       0.168004    -0.00322211     0.00523051
6              1       0.317628       0.157707     -0.0173867     0.00285533
6              2       0.854142      0.0474912      0.0102316     0.00355704
6              3       0.377565       0.120067     -0.0147847     0.00329422
6              4        0.82805       0.140017     0.00814179     0.00607228
6              5      -0.106709       0.111652     -0.0259686     0.00613836
6              6        0.99874     0.00130584       0.012717     0.00511098
6              7     -0.0523919      0.0793977     -0.0254961     0.00627833
6              8       0.971889      0.0335061      0.0137468     0.00350705
6              9       0.903769      0.0283793      0.0015982     0.00193388
6             10       0.973691     0.00753413     0.00868784     0.00417098
6             11       0.903371      0.0274183     0.00228013      0.0020651
6             12       0.821702        0.14749     0.00786564     0.00597982
6             13     -0.0888462       0.146805      -0.026814       0.006821
6             14       0.997456      0.0015633      0.0125765     0.00507657
6             15      -0.102271       0.109923     -0.0263413     0.00633968
6             16      0.0288925     0.00882281      0.0549023      0.0127278
6             17     0.00398606     0.00369907     -0.0548957       0.012722
6             18      0.0280549      0.0121495      0.0548995       0.012727
6             19      -0.012476     0.00578277     -0.0548989      0.0127259
6             20      -0.105684      0.0624658     -0.0509586      0.0127015
6             21    -0.00518566       0.011299      0.0548853      0.0127138
6             22      0.0526901      0.0186275     -0.0539535      0.0123774
6             23      0.0155783     0.00688607      0.0548847      0.0127213
6             24     -0.0824886        0.19274     -0.0203807     0.00538068
6             25       0.132549      0.0419084       0.054423      0.0124866
6             26      -0.398996      0.0462494    -0.00547115     0.00180926
6             27      0.0895576      0.0392803      0.0544148      0.0124867
6             28     -0.0914276      0.0585905     -0.0511391      0.0125591
6             29      0.0242083      0.0102971      0.0548853      0.0127206
6             30      0.0376578      0.0175067     -0.0539191       0.012336
6             31     -0.0203442      0.0118374      0.0548927       0.012725

7              0       0.705762       0.123264     0.00872581      0.0114272
7              1       0.915192      0.0454412      0.0380956     0.00766283
7              2       0.459227      0.0679825     -0.0211892     0.00401154
7              3       0.895412      0.0351125      0.0316333      0.0043096
7              4       0.453163       0.188158     -0.0151414      0.0107214
7              5       0.989897     0.00576429      0.0548727     0.00420553
7              6     -0.0523919      0.0793977     -0.0254961     0.00627833
7              7       0.996729     0.00383657       0.053831     0.00590992
7              8      0.0607202       0.150785     -0.0289669     0.00332702
7              9      -0.465472      0.0405591    -0.00264694      0.0041132
7             10       -0.27097      0.0568246     -0.0170546     0.00626021
7             11       -0.46714      0.0441564    -0.00401098     0.00412384
7             12       0.460513       0.189498     -0.0144049      0.0112117
7             13       0.988068      0.0076713       0.056196     0.00414892
7             14     -0.0556249      0.0871752       -0.02526     0.00692314
7             15       0.990031       0.004581      0.0555246     0.00463786
7             16     0.00507391     0.00373566      -0.115785      0.0062257
7             17     -0.0210568      0.0109065       0.115773     0.00622234
7             18     0.00342658     0.00291949      -0.115779     0.00623293
7             19      0.0214863     0.00999506       0.115778     0.00623462
7             20       0.458577      0.0780444        0.10692     0.00649212
