#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0         0.9997              0      0.0611358              0
0              1       0.999299              0      0.0624701              0
0              2       0.998969              0      0.0624189     6.2475e-09
0              3       0.997924              0      0.0630028              0
0              4       0.999051              0       0.061836              0
0              5        0.99862              0      0.0605695     7.5661e-09
0              6       0.999189    0.000227915      0.0611477    0.000158619
0              7       0.999052              0      0.0625759              0
0              8       0.998645              0       0.062585              0
0              9       0.999349    4.05253e-05      0.0617926    0.000249454
0             10       0.999243    1.22426e-07      0.0604027              0
0             11       0.999149     4.2434e-05      0.0616495      0.0001836
0             12       0.998802    0.000225687      0.0628714    0.000200661
0             13       0.998909              0      0.0624017              0
0             14       0.998655              0       0.061223              0
0             15       0.998536              0      0.0620234    7.24399e-09
0             16       0.998901    2.13612e-07      0.0626799    4.74883e-09
0             17       0.998269     0.00040286       0.061421    0.000696353
0             18        0.99855              0      0.0623204              0
0             19       0.997732              0       0.060765              0
0             20       0.997715    0.000635605      0.0606911    0.000305907
0             21       0.999115              0      0.0611728    1.29383e-08
0             22       0.998702    1.46759e-07      0.0605158              0
0             23       0.998135              0      0.0615161              0
0             24       0.999534    9.65706e-08      0.0619106              0
0             25       0.998125    2.00198e-07      0.0618512              0
0             26       0.997799              0      0.0609463              0
0             27       0.999001    2.26723e-07      0.0619637    1.33508e-08
0             28       0.999403              0      0.0617348              0
0             29       0.998212              0      0.0623643              0
0             30       0.999595    2.41733e-05      0.0618155    0.000161069
0             31       0.999405              0      0.0620372    1.14063e-08
0             32       0.999578              0      0.0612731              0
0             33       0.998654              0       0.061633    8.73658e-09
0             34       0.997817              0      0.0608834              0
0             35        0.99865    2.38884e-07      0.0603923    1.09999e-08
0             36     -0.0965551              0    0.000273312              0
0             37   -0.000328274       0.003235     0.00412907     0.00715129
0             38     0.00514022     0.00329011   -7.99626e-06     6.5568e-06
0             39       0.001994     0.00638355       0.109976     0.00405644
0             40    -0.00244917              0   -0.000214765     4.0265e-11
0             41     -0.0165227    0.000917502     -0.0490416     0.00634227
0             42    -0.00333891     0.00351321     -0.0912669     0.00997384
0             43       0.038046              0   -3.27786e-05              0
0             44      0.0234667     0.00421335     0.00292951       0.023334
0             45      0.0122763              0    9.20497e-05    1.06064e-11
0             46     -0.0064029     0.00234107     -0.0989425      0.0155526
0             47     -0.0189867    1.96187e-09    7.85434e-05              0
0             48    0.000393944     0.00143792   -3.54663e-05    5.59635e-05
0             49     -0.0361835     0.00546467      0.0746718      0.0133972
0             50     -0.0520454              0   -1.70517e-05    2.96459e-12
0             51      0.0147294     0.00607874     -0.0986033      0.0115897
0             52     -0.0279565    6.59367e-09    3.41798e-05              0
0             53     0.00806682     0.00935386     -0.0743834      0.0193958
0             54     -0.0154143     0.00120115     -0.0109197    0.000516448
0             55      0.0424384    8.56108e-09    1.82515e-05              0
0             56      0.0146412     0.00315661     -0.0282234      0.0135617
0             57     -0.0773234     0.00125118    0.000290024    0.000109028
0             58      0.0140601     0.00166071     -0.0728197      0.0053515
0             59      0.0204686              0     4.7188e-05    5.53224e-12
0             60     -0.0257998    3.99221e-09   -9.16394e-05    1.15043e-11
0             61     -0.0364702     0.00815784      0.0712252       0.019506
0             62     -0.0140454     0.00344323   -0.000171729    5.50078e-06
0             63      0.0240896      0.0031372     -0.0723338      0.0127858
0             64      0.0131065              0   -0.000118311    3.20524e-11
0             65     0.00832407      0.0106238     -0.0426635      0.0123205
0             66      0.0187041      0.0042707      0.0093625      0.0243223
0             67       0.070289              0    0.000267191    2.52047e-11
0             68       0.009788     0.00208133      -0.113106     0.00316476
0             69     -0.0432747    5.50978e-09    5.29344e-05    7.33258e-12
0             70     0.00393358     0.00472145       0.099848      0.0102292
0             71     0.00505012    8.97984e-10   -0.000240461    3.74553e-11

1              0       0.999299              0      0.0624701              0
1              1       0.999307    2.07014e-07      0.0638336              0
1              2       0.998732    1.21971e-07      0.0637811     7.5661e-09
1              3       0.996557     2.1439e-07      0.0643778              0
1              4       0.997974    2.11523e-07      0.0631855     9.9438e-09
1              5       0.997491    2.00751e-07      0.0618914    1.49737e-08
1              6         0.9993    3.08595e-05      0.0624823     0.00016208
1              7       0.999238     8.1617e-08      0.0639416              0
1              8       0.998826    2.30125e-07      0.0639509    1.22496e-08
1              9       0.999133    0.000130109      0.0631412    0.000254899
1             10       0.999338    1.89075e-07       0.061721              0
1             11         0.9994    1.75786e-06       0.062995    0.000187607
1             12       0.999065    0.000232886      0.0642436     0.00020504
1             13       0.999047              0      0.0637636              0
1             14       0.998834    1.37382e-07      0.0625592    1.12917e-08
1             15       0.998698    2.14131e-07      0.0633771    2.63418e-09
1             16       0.999002              0      0.0640479              0
1             17       0.998683    0.000317394      0.0627615    0.000711551
1             18        0.99895    2.16195e-07      0.0636805              0
1             19       0.998035              0      0.0620912              0
1             20       0.997974     0.00057333      0.0620157    0.000312583
1             21       0.999315              0      0.0625079              0
1             22       0.998444    2.18748e-07      0.0618366    1.10392e-08
1             23       0.998283              0      0.0628586              0
1             24       0.999267    1.38188e-07      0.0632618    7.45058e-09
1             25       0.997847              0      0.0632011              0
1             26        0.99779    7.06824e-08      0.0622765    7.42142e-09
1             27        0.99867     9.5414e-08       0.063316    6.03566e-09
1             28       0.998534    4.82853e-08      0.0630821    6.10709e-09
1             29       0.997198    4.59285e-08      0.0637254              0
1             30       0.999433    4.42517e-05      0.0631646    0.000164584
1             31       0.999258              0      0.0633911    1.17435e-08
1             32       0.999495    1.71849e-07      0.0626104    7.09274e-09
1             33       0.997676              0      0.0629782              0
1             34       0.996228    1.85518e-07      0.0622122    8.40773e-09
1             35       0.997412              0      0.0617104    1.05778e-08
1             36     -0.0966542              0    0.000279277    4.00178e-11
1             37      0.0176547     0.00264421     0.00421919     0.00730737
1             38       0.005364     0.00329389   -8.17077e-06     6.6999e-06
1             39    -0.00202482     0.00920499       0.112376     0.00414497
1             40    -0.00281197    1.64636e-10   -0.000219452              0
1             41     -0.0340747     0.00139305     -0.0501119     0.00648069
1             42     -0.0128775     0.00549843     -0.0932588      0.0101915
1             43      0.0382353     5.4105e-09    -3.3494e-05    3.69438e-12
1             44      0.0394418     0.00385438     0.00299344      0.0238433
1             45      0.0124419              0    9.40587e-05              0
1             46       -0.01266     0.00575081      -0.101102      0.0158921
1             47     -0.0188671    4.22317e-09    8.02576e-05    5.82361e-12
1             48    0.000532418     0.00135087   -3.62403e-05    5.71849e-05
1             49     -0.0508892      0.0054136      0.0763016      0.0136896
1             50     -0.0516865    9.63368e-09   -1.74239e-05              0
1             51      0.0258627     0.00868566      -0.100755      0.0118426
1             52     -0.0277165    3.08885e-09    3.49258e-05    1.28622e-12
1             53      0.0180706      0.0158002     -0.0760068      0.0198191
1             54     -0.0311091     0.00195634      -0.011158    0.000527719
1             55      0.0425554              0    1.86498e-05    2.69991e-12
1             56      0.0226287     0.00683774     -0.0288394      0.0138577
1             57     -0.0773647     0.00123054    0.000296354    0.000111408
1             58       0.024729     0.00327769      -0.074409      0.0054683
1             59      0.0203589    2.72521e-09    4.82179e-05    8.18545e-12
1             60     -0.0260054              0   -9.36395e-05    1.20658e-11
1             61     -0.0485517      0.0104558      0.0727797      0.0199318
1             62     -0.0138964     0.00339859   -0.000175477    5.62083e-06
1             63      0.0367365     0.00472298     -0.0739125      0.0130648
1             64      0.0128729    7.17632e-10   -0.000120894    5.30322e-12
1             65      0.0201788      0.0166028     -0.0435947      0.0125894
1             66      0.0205296     0.00762003     0.00956684      0.0248532
1             67      0.0701939      4.165e-09    0.000273023    1.15043e-11
1             68      0.0176081     0.00332812      -0.115574     0.00323383
1             69     -0.0433126     5.5685e-09    5.40897e-05     7.0155e-12
1             70      0.0145745     0.00678025       0.102027      0.0104524
1             71     0.00468956              0   -0.000245709              0

2              0       0.998969              0      0.0624189     6.2475e-09
2              1       0.998732    1.21971e-07      0.0637811     7.5661e-09
2              2       0.999848              0      0.0637288              0
2              3       0.997779              0       0.064325    1.27015e-08
2              4       0.998367    1.01612e-07      0.0631337              0
2              5       0.998141    1.12501e-07      0.0618406              0
2              6       0.999346    0.000520091       0.062431    0.000161947
2              7        0.99943     2.0377e-07      0.0638891              0
2              8       0.999414    2.08616e-07      0.0638984    4.26786e-09
2              9       0.999754    0.000145769      0.0630893    0.000254689
2             10       0.999287              0      0.0616703              0
2             11       0.999152    2.00357e-05      0.0629433    0.000187453
2             12       0.999158    0.000145089      0.0641908    0.000204872
2             13       0.999373    3.79907e-08      0.0637113    1.35282e-08
2             14       0.999187              0      0.0625078              0
2             15       0.999694              0      0.0633251    3.35793e-09
2             16       0.999561    1.78192e-07      0.0639954    6.38483e-09
2             17        0.99913    0.000156446        0.06271    0.000710967
2             18       0.999228              0      0.0636282              0
2             19        0.99937              0      0.0620402    8.56108e-09
2             20       0.999304    0.000136458      0.0619647    0.000312327
2             21       0.999515    5.26836e-08      0.0624566              0
2             22        0.99972    2.09413e-07      0.0617858    9.26654e-09
2             23       0.999506    4.59285e-08       0.062807     4.9281e-09
2             24       0.999789    8.22944e-08      0.0632099              0
2             25       0.999734              0      0.0631492              0
2             26       0.999592              0      0.0622253              0
2             27       0.999702    1.34936e-07      0.0632641    8.93293e-09
2             28       0.998667              0      0.0630303              0
2             29       0.999064              0       0.063673    4.74883e-09
2             30       0.999584    5.04249e-05      0.0631127    0.000164449
2             31       0.999792              0      0.0633391              0
2             32       0.999593              0       0.062559    5.35004e-09
2             33       0.998081              0      0.0629265    1.09801e-08
2             34       0.997413    1.12994e-07      0.0621611    1.39232e-08
2             35       0.997919              0      0.0616597              0
2             36     -0.0950593              0    0.000279048              0
2             37      0.0147773     0.00256485     0.00421573     0.00730137
2             38     0.00354927     0.00326012   -8.16407e-06     6.6944e-06
2             39    -0.00149036     0.00875064       0.112284     0.00414157
2             40    0.000801088              0   -0.000219272              0
2             41     -0.0321239     0.00124162     -0.0500708     0.00647537
2             42     -0.0105542     0.00514234     -0.0931823      0.0101831
2             43      0.0361465     5.9269e-09   -3.34665e-05              0
2             44       0.037679     0.00381089     0.00299099      0.0238237
2             45      0.0110447    9.59985e-10    9.39815e-05              0
2             46     -0.0112242     0.00513482      -0.101019       0.015879
2             47     -0.0197606    3.30094e-09    8.01918e-05              0
2             48    -0.00077576     0.00215851   -3.62106e-05    5.71379e-05
2             49     -0.0483248     0.00530177      0.0762389      0.0136784
2             50     -0.0539955              0   -1.74096e-05    1.65531e-12
2             51      0.0249425     0.00822729      -0.100673      0.0118329
2             52     -0.0299541              0    3.48971e-05              0
2             53      0.0168878      0.0147144     -0.0759444      0.0198029
2             54     -0.0283738     0.00180699     -0.0111489    0.000527286
2             55       0.041197              0    1.86345e-05    1.09045e-12
2             56      0.0217722     0.00619524     -0.0288157      0.0138463
2             57     -0.0765164     0.00145616     0.00029611    0.000111316
2             58      0.0228973     0.00294078     -0.0743479     0.00546381
2             59      0.0212568              0    4.81783e-05              0
2             60     -0.0237392              0   -9.35626e-05              0
2             61     -0.0466656      0.0101562        0.07272      0.0199154
2             62     -0.0151312     0.00377364   -0.000175333    5.61622e-06
2             63       0.034601     0.00443402     -0.0738518      0.0130541
2             64      0.0149689    2.28127e-09   -0.000120794              0
2             65      0.0174406      0.0155142     -0.0435589       0.012579
2             66      0.0196082     0.00698625     0.00955898      0.0248328
2             67      0.0704845    9.76779e-09    0.000272798    3.15058e-11
2             68       0.016431     0.00309259      -0.115479     0.00323118
2             69     -0.0425883              0    5.40453e-05    1.14141e-11
2             70      0.0126941     0.00639235       0.101943      0.0104438
2             71     0.00826256              0   -0.000245507              0

3              0       0.997924              0      0.0630028              0
3              1       0.996557     2.1439e-07      0.0643778              0
3              2       0.997779              0       0.064325    1.27015e-08
3              3       0.999047              0      0.0649268    4.74883e-09
3              4       0.999075              0      0.0637243    1.17804e-08
3              5       0.998909              0      0.0624191    5.47028e-09
3              6       0.996635     0.00108795       0.063015    0.000163462
3              7       0.996441              0      0.0644868              0
3              8       0.996292              0      0.0644962              0
3              9       0.997805    0.000552888      0.0636796    0.000257072
3             10        0.99666    2.51119e-07      0.0622473              0
3             11       0.996133    0.000118573      0.0635321    0.000189207
3             12       0.995976    2.69691e-05      0.0647913    0.000206789
3             13       0.996479              0      0.0643073              0
3             14        0.99616    8.62467e-08      0.0630926    5.35004e-09
3             15        0.99648              0      0.0639175    1.40627e-08
