#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0              1    1.49012e-08      0.0658269      0.0699557
0              1      -0.712685       0.285785      0.0247297      0.0670984
0              2       0.651399         0.3266      0.0144905      0.0664994
0              3      -0.702669       0.294994      0.0251961      0.0675055
0              4      -0.734642       0.255218        0.02201      0.0667403
0              5       0.654334       0.315312       0.014903      0.0656756
0              6       -0.62342       0.332887      0.0121634      0.0677066
0              7       0.644124       0.317478      0.0169795      0.0669391
0              8       0.658716       0.315912      0.0139612      0.0658158
0              9      -0.624609       0.329102      0.0131522      0.0677832
0             10       0.615922       0.338142      0.0150833      0.0701305
0             11      -0.633061       0.317705      0.0135508      0.0649894
0             12      -0.706927       0.285164      0.0238889      0.0668876
0             13       0.618207       0.337972       0.011572      0.0687366
0             14      -0.601267       0.360737      0.0147109      0.0672074
0             15        0.63889        0.33173      0.0177629      0.0662324
0             16      0.0722591       0.273063     0.00015807      0.0068808
0             17      -0.089568       0.268178    0.000341696      0.0078508
0             18      0.0632894        0.26997   -4.93635e-05      0.0072843
0             19     -0.0885749       0.259294   -0.000112102      0.0071735
0             20     -0.0723524       0.279385   -0.000635299     0.00791639
0             21      0.0792419       0.275596   -3.48836e-05     0.00682701
0             22     -0.0945589       0.265754    0.000622177     0.00770578
0             23      0.0672653       0.272368    0.000118531     0.00692576
0             24      0.0750368       0.276684    9.95967e-05     0.00826054
0             25     -0.0781344       0.261869    9.26847e-05     0.00698825
0             26      0.0669374       0.271812    0.000112486     0.00597889
0             27     -0.0668159       0.267834   -0.000440896     0.00716491
0             28     -0.0722718       0.267746   -0.000285467     0.00743619
0             29      0.0844281       0.275123    -0.00021843     0.00708273
0             30     -0.0746175       0.271318   -0.000347906     0.00686888
0             31      0.0627776       0.266685   -0.000849253     0.00827991

1              0      -0.712685       0.285785      0.0247297      0.0670984
1              1              1              0      0.0669372      0.0714897
1              2      -0.702123       0.281526      0.0222896      0.0656034
1              3       0.645228       0.306436       0.016604      0.0687838
1              4       0.657939        0.29481      0.0180595      0.0669684
1              5      -0.712108       0.261432      0.0211929      0.0665307
1              6       0.652224       0.308082      0.0148639      0.0685295
1              7      -0.624563       0.324705      0.0152942      0.0673089
1              8      -0.616913       0.339107      0.0141967      0.0693765
1              9       0.650166       0.315485      0.0164723      0.0680131
1             10      -0.635007       0.322685      0.0165332      0.0724355
1             11       0.583281       0.350186      0.0109351      0.0685636
1             12       0.631427       0.336936      0.0162893      0.0693361
1             13      -0.686983       0.298766      0.0202868      0.0695956
1             14       0.637831       0.307835      0.0123033      0.0683073
1             15      -0.606916       0.343565      0.0148736      0.0665924
1             16     -0.0719551       0.270237   -0.000397657     0.00790259
1             17      0.0892157       0.275541    0.000438736     0.00814322
1             18     -0.0623417       0.277144       8.99e-05     0.00732909
1             19      0.0844953       0.266227   -0.000213082     0.00707845
1             20      0.0775459       0.278924    4.01211e-05     0.00789417
1             21     -0.0801336       0.276263   -4.78214e-05     0.00707515
1             22      0.0924055       0.264158   -0.000271514     0.00743611
1             23     -0.0737833       0.273702   -0.000131516     0.00701708
1             24     -0.0706909        0.26557   -0.000327947     0.00883078
1             25      0.0731259       0.267004   -0.000318345     0.00755319
1             26     -0.0660792        0.27744    0.000193072     0.00628351
